일자,매매,전세,월세,총매물수
2023-02-01,52236,52914,29627,134777
2023-02-02,52006,52898,29661,134565
2023-02-03,52878,53420,29874,136172
2023-02-04,52994,53239,29780,136013
2023-02-05,53072,53183,29654,135909
2023-02-06,51974,52179,29105,133258
2023-02-07,52521,51938,28949,133408
2023-02-08,53807,52775,29354,135936
2023-02-09,53474,52495,29269,135238
2023-02-10,54341,52736,29439,136516
2023-02-11,54408,52471,29271,136150
2023-02-12,53917,51831,28977,134725
2023-02-13,52963,50986,28478,132427
2023-02-14,53905,51242,28519,133666
2023-02-15,55156,52030,28958,136144
2023-02-16,54917,51736,28773,135426
2023-02-17,55093,51352,28646,135091
2023-02-18,55506,51209,28530,135245
2023-02-19,55193,50885,28290,134368
2023-02-20,54195,50011,27780,131986
2023-02-21,55699,50526,28096,134321
2023-02-22,56605,50999,28408,136012
2023-02-23,57444,51368,28743,137555
2023-02-24,57958,51665,28874,138497
2023-02-25,57269,51097,28500,136866
2023-02-26,56872,50716,28227,135815
2023-02-27,55649,49821,27739,133209
2023-02-28,56587,49776,27726,134089
2023-03-01,57717,50405,28006,136128
2023-03-02,56615,49292,27364,133271
2023-03-03,57493,49582,27642,134717
2023-03-04,57926,49390,27532,134848
2023-03-05,57596,49112,27258,133966
2023-03-06,56448,48184,26723,131355
2023-03-07,57518,48469,26880,132867
2023-03-08,58812,49118,27338,135268
2023-03-09,58634,48847,27275,134756
2023-03-10,58804,48642,27178,134624
2023-03-11,58998,48507,27127,134632
2023-03-12,58724,48159,26971,133854
2023-03-13,57661,47323,26548,131532
2023-03-14,58645,47210,26505,132360
2023-03-15,59840,47831,26891,134562
2023-03-16,59482,47346,26795,133623
2023-03-17,59581,47040,26624,133245
2023-03-18,59561,46843,26604,133008
2023-03-19,59131,46599,26310,132040
2023-03-20,58073,45875,25898,129846
2023-03-21,58954,45949,25969,130872
2023-03-22,59943,46233,26248,132424
2023-03-23,59668,46022,26191,131881
2023-03-24,60022,45837,26102,131961
2023-03-25,60228,45718,26057,132003
2023-03-26,60399,45544,25965,131908
2023-03-27,59728,45025,25653,130406
2023-03-28,59911,44835,25628,130374
2023-03-29,61084,45200,25868,132152
2023-03-30,60673,44876,25776,131325
2023-03-31,60752,44337,25495,130584
2023-04-01,61291,44460,25614,131365
2023-04-02,60742,44071,25368,130181
